Date,AQI
2020-01-01,442
2020-01-02,441
2020-01-03,323
2020-01-04,348
2020-01-05,310
2020-01-06,325
2020-01-07,256
2020-01-08,244
2020-01-09,206
2020-01-10,296
2020-01-11,327
2020-01-12,341
2020-01-14,217
2020-01-15,266
2020-01-16,311
2020-01-17,276
2020-01-18,264
2020-01-19,257
2020-01-20,285
2020-01-21,384
2020-01-22,352
2020-01-23,229
2020-01-26,333
2020-01-27,355
2020-01-28,215
2020-01-29,178
2020-01-30,261
2020-01-31,226
2020-02-01,255
2020-02-02,295
2020-02-03,292
2020-02-04,330
2020-02-05,291
2020-02-06,258
2020-02-07,296
2020-02-08,317
2020-02-09,305
2020-02-10,353
2020-02-11,355
2020-02-12,349
2020-02-13,278
2020-02-14,210
2020-02-15,243
2020-02-16,300
2020-02-17,323
2020-02-18,317
2020-02-19,274
2020-02-20,173
2020-02-22,104
2020-02-23,243
2020-02-25,302
2020-02-26,334
2020-03-01,79
2020-03-02,206
2020-03-03,224
2020-03-04,143
2020-03-05,57
2020-03-06,63
2020-03-07,88
2020-03-08,136
2020-03-09,133
2020-03-10,140
2020-03-11,77
2020-03-12,159
2020-03-13,271
2020-03-14,92
2020-03-15,123
2020-03-16,128
2020-03-17,238
2020-03-18,203
2020-03-19,218
2020-03-20,225
2020-03-21,211
2020-03-22,173
2020-03-23,96
2020-03-24,116
2020-03-25,78
2020-03-26,106
2020-03-27,65
2020-03-28,58
2020-03-29,68
2020-03-30,80
2020-03-31,76
2020-04-01,74
2020-04-02,71
2020-04-03,72
2020-04-04,69
2020-04-05,87
2020-04-06,125
2020-04-07,78
2020-04-08,77
2020-04-09,81
2020-04-10,123
2020-04-11,83
2020-04-12,85
2020-04-13,115
2020-04-14,118
2020-04-15,113
2020-04-16,169
2020-04-17,103
2020-04-18,89
2020-04-19,89
2020-04-20,135
2020-04-21,83
2020-04-22,130
2020-04-23,95
2020-04-24,90
2020-04-25,81
2020-04-26,92
2020-04-27,91
2020-04-28,88
2020-04-29,101
2020-05-06,144
2020-05-07,120
2020-05-08,146
2020-05-09,142
2020-05-10,123
2020-05-11,123
2020-05-12,127
2020-05-13,167
2020-05-14,114
2020-05-15,100
2020-05-16,192
2020-05-17,229
2020-05-18,219
2020-05-19,242
2020-05-20,173
2020-05-21,219
2020-05-22,214
2020-05-23,190
2020-05-24,168
2020-05-25,209
2020-05-26,182
2020-05-27,146
2020-05-28,174
2020-05-29,70
2020-05-30,80
2020-05-31,58
2020-06-01,108
2020-06-02,98
2020-06-03,111
2020-06-04,153
2020-06-05,77
2020-06-06,83
2020-06-07,93
2020-06-08,107
2020-06-09,152
2020-06-10,116
2020-06-11,121
2020-06-12,189
2020-06-13,127
2020-06-14,202
2020-06-15,189
